variant,seed,selected_epoch,label_id,dialect,precision,recall,f1,support
M0,1701,7,0,BAR,0.813238770686,0.832929782082,0.822966507177,413
M0,1701,7,1,CHI,0.946572580645,0.943244600703,0.944905660377,1991
M0,1701,7,2,KHU,0.614285714286,0.500000000000,0.551282051282,86
M0,1701,7,3,KIS,0.722610722611,0.777917189460,0.749244712991,797
M0,1701,7,4,MYM,0.805555555556,0.768211920530,0.786440677966,302
M0,1701,7,5,NAR,0.788095238095,0.765317919075,0.776539589443,865
M0,1701,7,6,NOA,0.924731182796,0.661538461538,0.771300448430,260
M0,1701,7,7,NSD,0.709369024857,0.644097222222,0.675159235669,576
M0,1701,7,8,RAJ,0.782051282051,0.670329670330,0.721893491124,91
M0,1701,7,9,RAN,0.749291784703,0.777941176471,0.763347763348,680
M0,1701,7,10,STD,0.896653960186,0.940470901821,0.918039895924,2251
M0,1701,7,11,SYL,0.909090909091,0.895522388060,0.902255639098,1407
M0,1701,7,12,TAN,0.650467289720,0.670520231214,0.660341555977,519
M0,2903,6,0,BAR,0.868766404199,0.801452784504,0.833753148615,413
M0,2903,6,1,CHI,0.952917093142,0.935208437971,0.943979721166,1991
M0,2903,6,2,KHU,0.500000000000,0.360465116279,0.418918918919,86
M0,2903,6,3,KIS,0.764258555133,0.756587202008,0.760403530895,797
M0,2903,6,4,MYM,0.769480519481,0.784768211921,0.777049180328,302
M0,2903,6,5,NAR,0.764571428571,0.773410404624,0.768965517241,865
M0,2903,6,6,NOA,0.800000000000,0.784615384615,0.792233009709,260
M0,2903,6,7,NSD,0.689849624060,0.637152777778,0.662454873646,576
M0,2903,6,8,RAJ,0.720000000000,0.791208791209,0.753926701571,91
M0,2903,6,9,RAN,0.782071097372,0.744117647059,0.762622456669,680
M0,2903,6,10,STD,0.896537162162,0.943136383829,0.919246590171,2251
M0,2903,6,11,SYL,0.886363636364,0.914712153518,0.900314795383,1407
M0,2903,6,12,TAN,0.650485436893,0.645472061657,0.647969052224,519
M0,4307,14,0,BAR,0.843601895735,0.861985472155,0.852694610778,413
M0,4307,14,1,CHI,0.939424031778,0.950276243094,0.944818976280,1991
M0,4307,14,2,KHU,0.508474576271,0.348837209302,0.413793103448,86
M0,4307,14,3,KIS,0.731621936989,0.786700125471,0.758162031439,797
M0,4307,14,4,MYM,0.840909090909,0.735099337748,0.784452296820,302
M0,4307,14,5,NAR,0.814545454545,0.776878612717,0.795266272189,865
M0,4307,14,6,NOA,0.880952380952,0.711538461538,0.787234042553,260
M0,4307,14,7,NSD,0.723562152134,0.677083333333,0.699551569507,576
M0,4307,14,8,RAJ,0.894736842105,0.747252747253,0.814371257485,91
M0,4307,14,9,RAN,0.790519877676,0.760294117647,0.775112443778,680
M0,4307,14,10,STD,0.897033898305,0.940470901821,0.918238993711,2251
M0,4307,14,11,SYL,0.874324324324,0.919687277896,0.896432282646,1407
M0,4307,14,12,TAN,0.688284518828,0.633911368015,0.659979939819,519
M1,1701,15,0,BAR,0.845971563981,0.864406779661,0.855089820359,413
M1,1701,15,1,CHI,0.948886639676,0.941737820191,0.945298714394,1991
M1,1701,15,2,KHU,0.507246376812,0.406976744186,0.451612903226,86
M1,1701,15,3,KIS,0.788511749347,0.757841907152,0.772872680742,797
M1,1701,15,4,MYM,0.695156695157,0.807947019868,0.747320061256,302
M1,1701,15,5,NAR,0.815309842041,0.775722543353,0.795023696682,865
M1,1701,15,6,NOA,0.773584905660,0.788461538462,0.780952380952,260
M1,1701,15,7,NSD,0.724561403509,0.717013888889,0.720767888307,576
M1,1701,15,8,RAJ,0.849315068493,0.681318681319,0.756097560976,91
M1,1701,15,9,RAN,0.828800000000,0.761764705882,0.793869731801,680
M1,1701,15,10,STD,0.905927835052,0.936916925811,0.921161825726,2251
M1,1701,15,11,SYL,0.884246575342,0.917555081734,0.900592954308,1407
M1,1701,15,12,TAN,0.690196078431,0.678227360308,0.684159378037,519
M1,2903,16,0,BAR,0.806306306306,0.866828087167,0.835472578763,413
M1,2903,16,1,CHI,0.958227203260,0.944751381215,0.951441578149,1991
M1,2903,16,2,KHU,0.563380281690,0.465116279070,0.509554140127,86
M1,2903,16,3,KIS,0.739027283511,0.781681304893,0.759756097561,797
M1,2903,16,4,MYM,0.777003484321,0.738410596026,0.757215619694,302
M1,2903,16,5,NAR,0.721442885772,0.832369942197,0.772946859903,865
M1,2903,16,6,NOA,0.788844621514,0.761538461538,0.774951076321,260
M1,2903,16,7,NSD,0.715596330275,0.677083333333,0.695807314897,576
M1,2903,16,8,RAJ,0.953125000000,0.670329670330,0.787096774194,91
M1,2903,16,9,RAN,0.783703703704,0.777941176471,0.780811808118,680
M1,2903,16,10,STD,0.909839618552,0.932474455797,0.921017990347,2251
M1,2903,16,11,SYL,0.929368029740,0.888415067520,0.908430232558,1407
M1,2903,16,12,TAN,0.737078651685,0.631984585742,0.680497925311,519
M1,4307,12,0,BAR,0.846715328467,0.842615012107,0.844660194175,413
M1,4307,12,1,CHI,0.942814520139,0.952285283777,0.947526236882,1991
M1,4307,12,2,KHU,0.415730337079,0.430232558140,0.422857142857,86
M1,4307,12,3,KIS,0.766066838046,0.747804265997,0.756825396825,797
M1,4307,12,4,MYM,0.758169934641,0.768211920530,0.763157894737,302
M1,4307,12,5,NAR,0.801204819277,0.768786127168,0.784660766962,865
M1,4307,12,6,NOA,0.824489795918,0.776923076923,0.800000000000,260
M1,4307,12,7,NSD,0.696969696970,0.678819444444,0.687774846086,576
M1,4307,12,8,RAJ,0.797619047619,0.736263736264,0.765714285714,91
M1,4307,12,9,RAN,0.827181208054,0.725000000000,0.772727272727,680
M1,4307,12,10,STD,0.898625429553,0.929364726788,0.913736623717,2251
M1,4307,12,11,SYL,0.910714285714,0.906183368870,0.908443177770,1407
M1,4307,12,12,TAN,0.606010016694,0.699421965318,0.649373881932,519
M2,1701,8,0,BAR,0.836492890995,0.854721549637,0.845508982036,413
M2,1701,8,1,CHI,0.917191283293,0.951280763435,0.933925049310,1991
M2,1701,8,2,KHU,0.405940594059,0.476744186047,0.438502673797,86
M2,1701,8,3,KIS,0.730158730159,0.750313676286,0.740099009901,797
M2,1701,8,4,MYM,0.786941580756,0.758278145695,0.772344013491,302
M2,1701,8,5,NAR,0.756726457399,0.780346820809,0.768355150825,865
M2,1701,8,6,NOA,0.789915966387,0.723076923077,0.755020080321,260
M2,1701,8,7,NSD,0.722543352601,0.651041666667,0.684931506849,576
M2,1701,8,8,RAJ,0.849315068493,0.681318681319,0.756097560976,91
M2,1701,8,9,RAN,0.803486529319,0.745588235294,0.773455377574,680
M2,1701,8,10,STD,0.914628723877,0.913816081741,0.914222222222,2251
M2,1701,8,11,SYL,0.894700139470,0.911869225302,0.903203097501,1407
M2,1701,8,12,TAN,0.678571428571,0.658959537572,0.668621700880,519
M2,2903,13,0,BAR,0.819672131148,0.847457627119,0.833333333333,413
M2,2903,13,1,CHI,0.954591836735,0.939728779508,0.947101999494,1991
M2,2903,13,2,KHU,0.490566037736,0.302325581395,0.374100719424,86
M2,2903,13,3,KIS,0.763590391909,0.757841907152,0.760705289673,797
M2,2903,13,4,MYM,0.744479495268,0.781456953642,0.762520193861,302
M2,2903,13,5,NAR,0.815594059406,0.761849710983,0.787806335923,865
M2,2903,13,6,NOA,0.869565217391,0.769230769231,0.816326530612,260
M2,2903,13,7,NSD,0.708928571429,0.689236111111,0.698943661972,576
M2,2903,13,8,RAJ,0.752808988764,0.736263736264,0.744444444444,91
M2,2903,13,9,RAN,0.780966767372,0.760294117647,0.770491803279,680
M2,2903,13,10,STD,0.903731976251,0.946690359840,0.924712518985,2251
M2,2903,13,11,SYL,0.885380919698,0.916844349680,0.900837988827,1407
M2,2903,13,12,TAN,0.665399239544,0.674373795761,0.669856459330,519
M2,4307,18,0,BAR,0.860975609756,0.854721549637,0.857837181045,413
M2,4307,18,1,CHI,0.967758710348,0.934706177800,0.950945324476,1991
M2,4307,18,2,KHU,0.476744186047,0.476744186047,0.476744186047,86
M2,4307,18,3,KIS,0.731360946746,0.775407779172,0.752740560292,797
M2,4307,18,4,MYM,0.823104693141,0.754966887417,0.787564766839,302
M2,4307,18,5,NAR,0.790080738178,0.791907514451,0.790993071594,865
M2,4307,18,6,NOA,0.780303030303,0.792307692308,0.786259541985,260
M2,4307,18,7,NSD,0.750000000000,0.661458333333,0.702952029520,576
M2,4307,18,8,RAJ,0.878378378378,0.714285714286,0.787878787879,91
M2,4307,18,9,RAN,0.753867791842,0.788235294118,0.770668583753,680
M2,4307,18,10,STD,0.906370243694,0.941803642825,0.923747276688,2251
M2,4307,18,11,SYL,0.878706199461,0.926794598436,0.902109996541,1407
M2,4307,18,12,TAN,0.717777777778,0.622350674374,0.666666666667,519
M3,1701,8,0,BAR,0.834112149533,0.864406779661,0.848989298454,413
M3,1701,8,1,CHI,0.942471235618,0.946258161728,0.944360902256,1991
M3,1701,8,2,KHU,0.457831325301,0.441860465116,0.449704142012,86
M3,1701,8,3,KIS,0.747826086957,0.755332496863,0.751560549313,797
M3,1701,8,4,MYM,0.713864306785,0.801324503311,0.755070202808,302
M3,1701,8,5,NAR,0.764501160093,0.761849710983,0.763173132600,865
M3,1701,8,6,NOA,0.820960698690,0.723076923077,0.768916155419,260
M3,1701,8,7,NSD,0.681494661922,0.664930555556,0.673110720562,576
M3,1701,8,8,RAJ,0.878378378378,0.714285714286,0.787878787879,91
M3,1701,8,9,RAN,0.806343906511,0.710294117647,0.755277560594,680
M3,1701,8,10,STD,0.905317769131,0.930253220791,0.917616126205,2251
M3,1701,8,11,SYL,0.922672672673,0.873489694385,0.897407813070,1407
M3,1701,8,12,TAN,0.590538336052,0.697495183044,0.639575971731,519
M3,2903,12,0,BAR,0.872727272727,0.813559322034,0.842105263158,413
M3,2903,12,1,CHI,0.938057482656,0.950778503265,0.944375155899,1991
M3,2903,12,2,KHU,0.439393939394,0.337209302326,0.381578947368,86
M3,2903,12,3,KIS,0.725090036014,0.757841907152,0.741104294479,797
M3,2903,12,4,MYM,0.827205882353,0.745033112583,0.783972125436,302
M3,2903,12,5,NAR,0.739451476793,0.810404624277,0.773303916161,865
M3,2903,12,6,NOA,0.795454545455,0.807692307692,0.801526717557,260
M3,2903,12,7,NSD,0.738461538462,0.666666666667,0.700729927007,576
M3,2903,12,8,RAJ,0.802631578947,0.670329670330,0.730538922156,91
M3,2903,12,9,RAN,0.788605697151,0.773529411765,0.780994803267,680
M3,2903,12,10,STD,0.911739130435,0.931585961795,0.921555702044,2251
M3,2903,12,11,SYL,0.905755395683,0.894811656006,0.900250268144,1407
M3,2903,12,12,TAN,0.675350701403,0.649325626204,0.662082514735,519
M3,4307,7,0,BAR,0.810304449649,0.837772397094,0.823809523810,413
M3,4307,7,1,CHI,0.944193061840,0.943244600703,0.943718592965,1991
M3,4307,7,2,KHU,0.440476190476,0.430232558140,0.435294117647,86
M3,4307,7,3,KIS,0.733009708738,0.757841907152,0.745219000617,797
M3,4307,7,4,MYM,0.830115830116,0.711920529801,0.766488413547,302
M3,4307,7,5,NAR,0.750849377123,0.766473988439,0.758581235698,865
M3,4307,7,6,NOA,0.877934272300,0.719230769231,0.790697674419,260
M3,4307,7,7,NSD,0.706457925636,0.626736111111,0.664213431463,576
M3,4307,7,8,RAJ,0.802631578947,0.670329670330,0.730538922156,91
M3,4307,7,9,RAN,0.735334242838,0.792647058824,0.762915782024,680
M3,4307,7,10,STD,0.910441240716,0.925810750777,0.918061674009,2251
M3,4307,7,11,SYL,0.893436838391,0.899786780384,0.896600566572,1407
M3,4307,7,12,TAN,0.632270168856,0.649325626204,0.640684410646,519
